title,text
Contractor's Responsibilities for Site Data and Conditions,"’s possession on sub-surface andhydrological conditions at the Site, including environmental aspects. The Employershall similarly make available to the Contractor all such data which come into theEmployer’s possession after the Base Date. The Contractor shall be responsible forinterpreting all such data.
To the extent which was practicable (taking account of cost and time), the Contractor
shall be deemed to have obtained all necessary information as to risks, contingenciesand other circumstances which may influence or affect the Tender or Works. To thesame extent, the Contractor shall be deemed to have inspected and examined theSite, its surroundings, the above data and other available information, and to havebeen satisfied before submitting the Tender as to all relevant matters, including(without limitation):
(a) the form and nature of the Site, including sub-surface conditions, 
(b) the hydrological and climatic conditions,(c) the extent and nature of the work and Goods necessary for the execution and
completion of the Works and the remedying of any defects,
(d) the Laws, procedures and labour practices of the Country, and(e) the Contractor’s requirements for access, accommodation, facilities, personnel,
power, transport, water and other services.
The Contractor shall be deemed to:
(a) have satisfied himself as to the correctness and sufficiency of the Accepted
Contract Amount, and
(b) have based the Accepted Contract Amount on the data, interpretations,
necessary information, inspections, examinations and satisfaction as to allrelevant matters referred to in Sub-Clause 4.10 [ Site Data ].
Unless otherwise stated in the Contract, the Accepted Contract Amount covers all the
Contractor’s obligations under the Contract (including those under Provisional Sums,if any) and all things necessary for the proper execution and completion of the Worksand the remedying of any defects.
In this Sub-Clause, “physical conditions” means natural physical conditions and man-
made and other physical obstructions and pollutants, which the Contractorencounters at the Site when executing the Works, including sub-surface andhydrological conditions but excluding climatic conditions.
If the Contractor encounters adverse physical conditions which he considers to have
been Unforeseeable, the Contractor shall give notice to the Engineer as soon aspracticable.
This notice shall describe the physical conditions, so that they can be inspected by
the Engineer, and shall set out the reasons why the Contractor considers them to be4.10
Site Data
## 4 11Sufficiency of the
Accepted Contract Amount
## 4 12
Unforeseeable Physical
Conditions
## 18 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
Unforeseeable. The Contract"
Unforeseeable Physical Conditions in Construction Contracts," of the
Accepted Contract Amount
## 4 12
Unforeseeable Physical
Conditions
## 18 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
Unforeseeable. The Contractor shall continue executing the Works, using such proper
and reasonable measures as are appropriate for the physical conditions, and shallcomply with any instructions which the Engineer may give. If an instruction constitutesa Variation, Clause 13 [ Variations and Adjustments ] shall apply.
If and to the extent that the Contractor encounters physical conditions which are
Unforeseeable, gives such a notice, and suffers delay and/or incurs Cost due to theseconditions, the Contractor shall be entitled subject to Sub-Clause 20.1 [ Contractor’s
Claims ] to:
(a) an extension of time for any such delay, if completion is or will be delayed,
under Sub-Clause 8.4 [ Extension of Time for Completion ], and
(b) payment of any such Cost, which shall be included in the Contract Price.
After receiving such notice and inspecting and/or investigating these physical
conditions, the Engineer shall proceed in accordance with Sub-Clause 3.5[Determinations ] to agree or determine (i) whether and (if so) to what extent these
physical conditions were Unforeseeable, and (ii) the matters described in sub-paragraphs (a) and (b) above related to this extent.
However, before additional Cost is finally agreed or determined under sub-paragraph
(ii), the Engineer may also review whether other physical conditions in similar parts ofthe Works (if any) were more favourable than could reasonably have been foreseenwhen the Contractor submitted the Tender. If and to the extent that these morefavourable conditions were encountered, the Engineer may proceed in accordancewith Sub-Clause 3.5 [ Determinations ] to agree or determine the reductions in Cost
which were due to these conditions, which may be included (as deductions) in theContract Price and Payment Certificates. However, the net effect of all adjustmentsunder sub-paragraph (b) and all these reductions, for all the physical conditionsencountered in similar parts of the Works, shall not result in a net reduction in theContract Price.
The Engineer may take account of any evidence of the physical conditions foreseen
by the Contractor when submitting the Tender, which may be made available by theContractor, but shall not be bound by any such evidence.
The Contractor shall bear all costs and charges for special and/or temporary rights-
of-way which he may require, including those for access to the Site. The Contractorshall also obtain, at his risk and cost, any additional facilities outside the Site which hemay require for the purposes of the Works"
Contractor Responsibilities for Access and Transport Management,"or temporary rights-
of-way which he may require, including those for access to the Site. The Contractorshall also obtain, at his risk and cost, any additional facilities outside the Site which hemay require for the purposes of the Works.
The Contractor shall not interfere unnecessarily or improperly with:
(a) the convenience of the public, or
(b) the access to and use and occupation of all roads and footpaths, irrespective
of whether they are public or in the possession of the Employer or of others.
The Contractor shall indemnify and hold the Employer harmless against and from all
damages, losses and expenses (including legal fees and expenses) resulting from anysuch unnecessary or improper interference.
The Contractor shall be deemed to have been satisfied as to the suitability and availability
of access routes to the Site. The Contractor shall use reasonable efforts to prevent any4.13
Rights of Way and
Facilities
## 4 14
Avoidance of 
Interference
## 4 15
Access Route
road or bridge from being damaged by the Contractor’s traffic or by the Contractor’s
Personnel. These efforts shall include the proper use of appropriate vehicles and routes.
Except as otherwise stated in these Conditions:(a) the Contractor shall (as between the Parties) be responsible for any
maintenance which may be required for his use of access routes;
(b) the Contractor shall provide all necessary signs or directions along access
routes, and shall obtain any permission which may be required from therelevant authorities for his use of routes, signs and directions;
(c) the Employer shall not be responsible for any claims which may arise from the
use or otherwise of any access route;
(d) the Employer does not guarantee the suitability or availability of particular
access routes; and
(e) Costs due to non-suitability or non-availability, for the use required by the
Contractor, of access routes shall be borne by the Contractor.
Unless otherwise stated in the Particular Conditions:
(a) the Contractor shall give the Engineer not less than 21 days’ notice of the date
on which any Plant or a major item of other Goods will be delivered to the Site;
(b) the Contractor shall be responsible for packing, loading, transporting, receiving,
unloading, storing and protecting all Goods and other things required for theWorks; and
(c) the Contractor shall indemnify and hold the Employer harmless against and
from all damages, losses and expenses (including legal fees and expenses)resulting from the transport of Goods, and shall negotiate and pay all claimsarising from their transport.
The Contractor shall be responsible for all Contractor’s Equipment. When brought on
to the Site, Contractor’s"
Contractor Responsibilities for Equipment and Environmental Protection,"resulting from the transport of Goods, and shall negotiate and pay all claimsarising from their transport.
The Contractor shall be responsible for all Contractor’s Equipment. When brought on
to the Site, Contractor’s Equipment shall be deemed to be exclusively intended for theexecution of the Works. The Contractor shall not remove from the Site any major itemsof Contractor’s Equipment without the consent of the Engineer. However, consentshall not be required for vehicles transporting Goods or Contractor’s Personnel offSite.
The Contractor shall take all reasonable steps to protect the environment (both on and
off the Site) and to limit damage and nuisance to people and property resulting frompollution, noise and other results of his operations.
The Contractor shall ensure that emissions, surface discharges and effluent from the
Contractor’s activities shall not exceed the values stated in the Specification orprescribed by applicable Laws.
The Contractor shall, except as stated below, be responsible for the provision of all
power, water and other services he may require.
The Contractor shall be entitled to use for the purposes of the Works such supplies
of electricity, water, gas and other services as may be available on the Site and ofwhich details and prices are given in the Specification. The Contractor shall, at his riskand cost, provide any apparatus necessary for his use of these services and formeasuring the quantities consumed.4.16
Transport of Goods
## 4 17Contractor’s
Equipment
## 4 18
Protection of the 
Environment
## 4 19
Electricity, Water and 
Gas
## 20 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
The quantities consumed and the amounts due (at these prices) for such services shall
be agreed or determined by the Engineer in accordance with Sub-Clause 2.5[Employer’s Claims ] and Sub-Clause 3.5 [ Determinations ]. The Contractor shall pay
these amounts to the Employer.
The Employer shall make the Employer’s Equipment (if any) available for the use of the
Contractor in the execution of the Works in accordance with the details, arrangementsand prices stated in the Specification. Unless otherwise stated in the Specification:
(a) the Employer shall be responsible for the Employer’s Equipment, except that
(b) the Contractor shall be responsible for each item of Employer’s Equipment
whilst any of the Contractor’s Personnel is operating it, driving it, directing it orin possession or control of it.
The appropriate quantities and the amounts due (at such stated prices) for the use of
Employer’s Equipment shall be agreed or determined by the Engineer"
Employer's Equipment and Contractor's Reporting Obligations," is operating it, driving it, directing it orin possession or control of it.
The appropriate quantities and the amounts due (at such stated prices) for the use of
Employer’s Equipment shall be agreed or determined by the Engineer in accordancewith Sub-Clause 2.5 [ Employer’s Claims ] and Sub-Clause 3.5 [ Determinations ]. The
Contractor shall pay these amounts to the Employer.
The Employer shall supply, free of charge, the “free-issue materials” (if any) in accordance
with the details stated in the Specification. The Employer shall, at his risk and cost,provide these materials at the time and place specified in the Contract. The Contractorshall then visually inspect them, and shall promptly give notice to the Engineer of anyshortage, defect or default in these materials. Unless otherwise agreed by both Parties,the Employer shall immediately rectify the notified shortage, defect or default.
After this visual inspection, the free-issue materials shall come under the care, custody
and control of the Contractor. The Contractor’s obligations of inspection, care,custody and control shall not relieve the Employer of liability for any shortage, defector default not apparent from a visual inspection.
Unless otherwise stated in the Particular Conditions, monthly progress reports shall be
prepared by the Contractor and submitted to the Engineer in six copies. The firstreport shall cover the period up to the end of the first calendar month following theCommencement Date. Reports shall be submitted monthly thereafter, each within 7days after the last day of the period to which it relates.
Reporting shall continue until the Contractor has completed all work which is known to
be outstanding at the completion date stated in the Taking-Over Certificate for the Works.
Each report shall include:(a) charts and detailed descriptions of progress, including each stage of design (if
any), Contractor’s Documents, procurement, manufacture, delivery to Site,construction, erection and testing; and including these stages for work by eachnominated Subcontractor (as defined in Clause 5 [ Nominated Subcontractors ]),
(b) photographs showing the status of manufacture and of progress on the Site;(c) for the manufacture of each main item of Plant and Materials, the name of the
manufacturer, manufacture location, percentage progress, and the actual orexpected dates of:(i) commencement of manufacture,(ii) Contractor’s inspections,(iii) tests, and(iv) shipment and arrival at the Site;4.20
Employer’s Equipment 
and Free-Issue Material
## 4 21Progress Reports
(d) the details described in Sub-Clause 6.10 [ Records of Contractor’s Personnel
and Equipment ];
(e) copies of"
Contractor Responsibilities for Site Management and Safety,"�s Equipment 
and Free-Issue Material
## 4 21Progress Reports
(d) the details described in Sub-Clause 6.10 [ Records of Contractor’s Personnel
and Equipment ];
(e) copies of quality assurance documents, test results and certificates of Materials;(f) list of notices given under Sub-Clause 2.5 [ Employer’s Claims ] and notices
given under Sub-Clause 20.1 [ Contractor’s Claims ];
(g) safety statistics, including details of any hazardous incidents and activities
relating to environmental aspects and public relations; and
(h) comparisons of actual and planned progress, with details of any events or
circumstances which may jeopardise the completion in accordance with theContract, and the measures being (or to be) adopted to overcome delays.
Unless otherwise stated in the Particular Conditions:
(a) the Contractor shall be responsible for keeping unauthorised persons off the
Site, and
(b) authorised persons shall be limited to the Contractor’s Personnel and the
Employer’s Personnel; and to any other personnel notified to the Contractor, bythe Employer or the Engineer, as authorised personnel of the Employer’s othercontractors on the Site.
The Contractor shall confine his operations to the Site, and to any additional areas
which may be obtained by the Contractor and agreed by the Engineer as workingareas. The Contractor shall take all necessary precautions to keep Contractor’sEquipment and Contractor’s Personnel within the Site and these additional areas, andto keep them off adjacent land.
During the execution of the Works, the Contractor shall keep the Site free from all
unnecessary obstruction, and shall store or dispose of any Contractor’s Equipment orsurplus materials. The Contractor shall clear away and remove from the Site anywreckage, rubbish and Temporary Works which are no longer required.
Upon the issue of a Taking-Over Certificate, the Contractor shall clear away and remove,
from that part of the Site and Works to which the Taking-Over Certificate refers, allContractor’s Equipment, surplus material, wreckage, rubbish and Temporary Works. TheContractor shall leave that part of the Site and the Works in a clean and safe condition.However, the Contractor may retain on Site, during the Defects Notification Period, suchGoods as are required for the Contractor to fulfill obligations under the Contract.
All fossils, coins, articles of value or antiquity, and structures and other remains or
items of geological or archaeological interest found on the Site shall be placed underthe care and authority of the Employer. The Contractor shall take reasonableprecautions to prevent Contractor’s Personnel or other persons from removing ordamaging any of these findings.
"
Archaeological Findings and Subcontractor Obligations in Construction," archaeological interest found on the Site shall be placed underthe care and authority of the Employer. The Contractor shall take reasonableprecautions to prevent Contractor’s Personnel or other persons from removing ordamaging any of these findings.
The Contractor shall, upon discovery of any such finding, promptly give notice to the
Engineer, who shall issue instructions for dealing with it. If the Contractor suffers delayand/or incurs Cost from complying with the instructions, the Contractor shall give afurther notice to the Engineer and shall be entitled subject to Sub-Clause 20.1[Contractor’s Claims ] to:
(a) an extension of time for any such delay, if completion is or will be delayed,
under Sub-Clause 8.4 [ Extension of Time for Completion ], and
(b) payment of any such Cost, which shall be included in the Contract Price.4.22
Security of the Site
## 4 23Contractor’s Operations
on Site
## 4 24
Fossils
## 22 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
After receiving this further notice, the Engineer shall proceed in accordance with Sub-
Clause 3.5 [ Determinations ] to agree or determine these matters.
In the Contract, “nominated Subcontractor” means a Subcontractor:
(a) who is stated in the Contract as being a nominated Subcontractor, or
(b) whom the Engineer, under Clause 13 [ Variations and Adjustments ], instructs
the Contractor to employ as a Subcontractor.
The Contractor shall not be under any obligation to employ a nominated
Subcontractor against whom the Contractor raises reasonable objection by notice tothe Engineer as soon as practicable, with supporting particulars. An objection shall bedeemed reasonable if it arises from (among other things) any of the following matters,unless the Employer agrees to indemnify the Contractor against and from theconsequences of the matter:
(a) there are reasons to believe that the Subcontractor does not have sufficient
competence, resources or financial strength;
(b) the subcontract does not specify that the nominated Subcontractor shall
indemnify the Contractor against and from any negligence or misuse of Goodsby the nominated Subcontractor, his agents and employees; or
(c) the subcontract does not specify that, for the subcontracted work (including
design, if any), the nominated Subcontractor shall:
(i) undertake to the Contractor such obligations and liabilities as will enable the
Contractor to discharge his obligations and liabilities under the Contract, and
(ii) indemnify the Contractor against and from all obligations and liabilities
arising under or in connection with the Contract and from theconsequences of any"
Contractor Obligations and Payments to Nominated Subcontractors," enable the
Contractor to discharge his obligations and liabilities under the Contract, and
(ii) indemnify the Contractor against and from all obligations and liabilities
arising under or in connection with the Contract and from theconsequences of any failure by the Subcontractor to perform theseobligations or to fulfil these liabilities.
The Contractor shall pay to the nominated Subcontractor the amounts which the
Engineer certifies to be due in accordance with the subcontract. These amounts plusother charges shall be included in the Contract Price in accordance with sub-paragraph (b) of Sub-Clause 13.5 [ Provisional Sums ], except as stated in Sub-Clause
## 5 4 [Evidence of Payments ].
Before issuing a Payment Certificate which includes an amount payable to a
nominated Subcontractor, the Engineer may request the Contractor to supplyreasonable evidence that the nominated Subcontractor has received all amounts duein accordance with previous Payment Certificates, less applicable deductions forretention or otherwise. Unless the Contractor:
(a) submits this reasonable evidence to the Engineer, or
(b) (i) satisfies the Engineer in writing that the Contractor is reasonably entitled
to withhold or refuse to pay these amounts, and
(ii) submits to the Engineer reasonable evidence that the nominated
Subcontractor has been notified of the Contractor’s entitlement,5.1
Definition of “nominated Subcontractor”
## 5 2
Objection to Nomination
## 5 3Payments to nominated
Subcontractors
## 5 4
Evidence of Payments5Nominated Subcontractors
then the Employer may (at his sole discretion) pay, direct to the nominated
Subcontractor, part or all of such amounts previously certified (less applicabledeductions) as are due to the nominated Subcontractor and for which the Contractorhas failed to submit the evidence described in sub-paragraphs (a) or (b) above. TheContractor shall then repay, to the Employer, the amount which the nominatedSubcontractor was directly paid by the Employer.
Except as otherwise stated in the Specification, the Contractor shall makearrangements for the engagement of all staff and labour, local or otherwise, and fortheir payment, housing, feeding and transport.
The Contractor is encouraged, to the extent practicable and reasonable, to employ
staff and labour with appropriate qualifications and experience from sources within theCountry.
The Contractor shall pay rates of wages, and observe conditions of labour, which are
not lower than those established for the trade or industry where the work is carriedout. If no established rates or conditions are applicable, the Contractor shall pay ratesof wages and observe conditions which are not lower than the general level of wagesand conditions observed locally by employers whose trade or industry is similar to thatof the Contractor."
Contractor Responsibilities for Labor Standards and Safety,". If no established rates or conditions are applicable, the Contractor shall pay ratesof wages and observe conditions which are not lower than the general level of wagesand conditions observed locally by employers whose trade or industry is similar to thatof the Contractor.
The Contractor shall inform the Contractor’s Personnel about their liability to pay
personal income taxes in the Country in respect of such of their salaries, wages andallowances as are chargeable under the Laws of the Country for the time being inforce, and the Contractor shall perform such duties in regard to such deductionsthereof as may be imposed on him by such Laws.
The Contractor shall not recruit, or attempt to recruit, staff and labour from amongst
the Employer’s Personnel.
The Contractor shall comply with all the relevant labour Laws applicable to the
Contractor’s Personnel, including Laws relating to their employment, health, safety,welfare, immigration and emigration, and shall allow them all their legal rights.
The Contractor shall require his employees to obey all applicable Laws, including
those concerning safety at work.
No work shall be carried out on the Site on locally recognised days of rest, or outside
the normal working hours stated in the Contract Data, unless:
(a) otherwise stated in the Contract,
(b) the Engineer gives consent, or(c) the work is unavoidable, or necessary for the protection of life or property or for
the safety of the Works, in which case the Contractor shall immediately advisethe Engineer.6.1
Engagement of Staff and Labour
## 6 2
Rates of Wages and
Conditions of Labour
## 6 3
Persons in the Service
of Employer
## 6 4
Labour Laws
## 6 5Working Hours6Staff and Labour
## 24 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
Except as otherwise stated in the Specification, the Contractor shall provide and
maintain all necessary accommodation and welfare facilities for the Contractor’sPersonnel. The Contractor shall also provide facilities for the Employer’s Personnel asstated in the Specification.
The Contractor shall not permit any of the Contractor’s Personnel to maintain any
temporary or permanent living quarters within the structures forming part of thePermanent Works.
The Contractor shall at all times take all reasonable precautions to maintain the health
and safety of the Contractor’s Personnel. In collaboration with local health authorities,the Contractor shall ensure that medical staff, first aid facilities, sick bay andambulance service are available at all times at the Site and at any accommodation forContractor’s and Employer’s Personnel, and that suitable arrangements are made forall necessary welfare and hygiene requirements and for the prevention of epidemics.
The Contractor shall"
Health and Safety Measures for Contractor's Personnel," at all times at the Site and at any accommodation forContractor’s and Employer’s Personnel, and that suitable arrangements are made forall necessary welfare and hygiene requirements and for the prevention of epidemics.
The Contractor shall appoint an accident prevention officer at the Site, responsible for
maintaining safety and protection against accidents. This person shall be qualified forthis responsibility, and shall have the authority to issue instructions and take protectivemeasures to prevent accidents. Throughout the execution of the Works, theContractor shall provide whatever is required by this person to exercise thisresponsibility and authority.
The Contractor shall send, to the Engineer, details of any accident as soon as
practicable after its occurrence. The Contractor shall maintain records and makereports concerning health, safety and welfare of persons, and damage to property, asthe Engineer may reasonably require.
HIV-AIDS Prevention. The Contractor shall conduct an HIV-AIDS awareness
programme via an approved service provider, and shall undertake such othermeasures as are specified in this Contract to reduce the risk of the transfer of the HIVvirus between and among the Contractor’s Personnel and the local community, topromote early diagnosis and to assist affected individuals.
The Contractor shall throughout the contract (including the Defects Notification
Period): (i) conduct Information, Education and Consultation Communication (IEC)campaigns, at least every other month, addressed to all the Site staff and labour(including all the Contractor’s employees, all Subcontractors and Consultants’employees, and all truck drivers and crew making deliveries to Site for constructionactivities) and to the immediate local communities, concerning the risks, dangers andimpact of, and appropriate avoidance behaviour with respect to, Sexually TransmittedDiseases (STD)-or Sexually Transmitted Infections (STI) in general and HIV/AIDS inparticular; (ii) provide male or female condoms for all Site staff and labour asappropriate; and (iii) provide for STI and HIV/AIDS screening, diagnosis, counsellingand referral to a dedicated national STI and HIV/AIDS programme, (unless otherwiseagreed) of all Site staff and labour.
The Contractor shall include in the programme to be submitted for the execution of
the Works under Sub-Clause 8.3 an alleviation programme for Site staff and labourand their families in respect of Sexually Transmitted Infections (STI) and SexuallyTransmitted Diseases (STD) including HIV/AIDS. The STI, STD and HIV/AIDSalleviation programme shall indicate when, how and at what cost the Contractor plansto satisfy the requirements of this Sub-Clause and the related specification. For eachcomponent, the programme shall detail the resources to be provided or utilized andany related sub-contracting proposed. The programme shall also include provision of6.6"
Contractor Responsibilities for Personnel and Site Management,"sto satisfy the requirements of this Sub-Clause and the related specification. For eachcomponent, the programme shall detail the resources to be provided or utilized andany related sub-contracting proposed. The programme shall also include provision of6.6
Facilities for Staffand Labour
## 6 7
Health and Safety
a detailed cost estimate with supporting documentation. Payment to the Contractor
for preparation and implementation this programme shall not exceed the ProvisionalSum dedicated for this purpose.
Throughout the execution of the Works, and as long thereafter as is necessary to fulfil
the Contractor’s obligations, the Contractor shall provide all necessarysuperintendence to plan, arrange, direct, manage, inspect and test the work.
Superintendence shall be given by a sufficient number of persons having adequate
knowledge of the language for communications (defined in Sub-Clause 1.4 [ Law and
Language ]) and of the operations to be carried out (including the methods and
techniques required, the hazards likely to be encountered and methods of preventingaccidents), for the satisfactory and safe execution of the Works.
The Contractor’s Personnel shall be appropriately qualified, skilled and experienced in
their respective trades or occupations. The Engineer may require the Contractor toremove (or cause to be removed) any person employed on the Site or Works,including the Contractor’s Representative if applicable, who:
(a) persists in any misconduct or lack of care,
(b) carries out duties incompetently or negligently,(c) fails to conform with any provisions of the Contract, or(d) persists in any conduct which is prejudicial to safety, health, or the protection
of the environment.
If appropriate, the Contractor shall then appoint (or cause to be appointed) a suitable
replacement person.
The Contractor shall submit, to the Engineer, details showing the number of each
class of Contractor’s Personnel and of each type of Contractor’s Equipment on theSite. Details shall be submitted each calendar month, in a form approved by theEngineer, until the Contractor has completed all work which is known to beoutstanding at the completion date stated in the Taking-Over Certificate for theWorks.
The Contractor shall at all times take all reasonable precautions to prevent any
unlawful, riotous or disorderly conduct by or amongst the Contractor’s Personnel, andto preserve peace and protection of persons and property on and near the Site.
The Contractor may bring in to the country any foreign personnel who are necessary
for the execution of the Works to the extent allowed by the applicable Laws. TheContractor shall ensure that these personnel are provided with the required residencevisas and work permits. The Employer will, if requested by the Contractor, use his bestendeavours in a timely and expeditious manner to assist the Contractor"
Contractor Responsibilities for Personnel Welfare and Compliance," TheContractor shall ensure that these personnel are provided with the required residencevisas and work permits. The Employer will, if requested by the Contractor, use his bestendeavours in a timely and expeditious manner to assist the Contractor in obtainingany local, state, national, or government permission required for bringing in theContractor’s personnel.
The Contractor shall be responsible for the return of these personnel to the place
where they were recruited or to their domicile. In the event of the death in the Countryof any of these personnel or members of their families, the Contractor shall similarlybe responsible for making the appropriate arrangements for their return or burial.6.8
Contractor’s 
Superintendence
## 6 9
Contractor’s
Personnel
## 6 10
Records of Contractor’s 
Personnel and Equipment
## 6 11
Disorderly Conduct
## 6 12Foreign Personnel
## 26 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
The Contractor shall arrange for the provision of a sufficient supply of suitable food as
may be stated in the Specification at reasonable prices for the Contractor’s Personnelfor the purposes of or in connection with the Contract.
The Contractor shall, having regard to local conditions, provide on the Site an
adequate supply of drinking and other water for the use of the Contractor’s Personnel.
The Contractor shall at all times take the necessary precautions to protect the
Contractor’s Personnel employed on the Site from insect and pest nuisance, and toreduce their danger to health. The Contractor shall comply with all the regulations ofthe local health authorities, including use of appropriate insecticide.
The Contractor shall not, otherwise than in accordance with the Laws of the Country,
import, sell, give, barter or otherwise dispose of any alcoholic liquor or drugs, orpermit or allow importation, sale, gift, barter or disposal thereto by Contractor’sPersonnel.
The Contractor shall not give, barter, or otherwise dispose of, to any person, any arms
or ammunition of any kind, or allow Contractor’s Personnel to do so.
The Contractor shall respect the Country’s recognized festivals, days of rest and
religious or other customs.
The Contractor shall be responsible, to the extent required by local regulations, for
making any funeral arrangements for any of his local employees who may die whileengaged upon the Works.
The contractor shall not employ “forced or compulsory labour” in any form. “Forced
or compulsory labour” consists of all work or service, not voluntarily performed, thatis extracted from an individual under threat of force or penalty.
The Contractor shall not employ any child to perform"
Prohibition of Forced and Child Labour in Contracting,"� in any form. “Forced
or compulsory labour” consists of all work or service, not voluntarily performed, thatis extracted from an individual under threat of force or penalty.
The Contractor shall not employ any child to perform any work that is economically
exploitative, or is likely to be hazardous to, or to interfere with, the child’s education,or to be harmful to the child’s health or physical, mental, spiritual, moral, or socialdevelopment.
The Contractor shall keep complete and accurate records of the employment of
labour at the Site. The records shall include the names, ages, genders, hours workedand wages paid to all workers. These records shall be summarized on a monthly basisand shall be available for inspection by the Engineer during normal working hours.These records shall be included in the details to be submitted by the Contractor underSub-Clause 6.10 [ Records of Contractor’s Personnel and Equipmen t].6.13
Supply of Foodstuffs
## 6 14
Supply of Water
## 6 15Measures against Insect
and Pest Nuisance
## 6 16
Alcoholic Liquor or Drugs
## 6 17Arms and Ammunition
## 6 18Festivals and Religious
Customs
## 6 19
Funeral Arrangements
## 6 20Prohibition of Forced
or Compulsory Labour
## 6 21
Prohibition of Harmful
Child Labour
## 6 22
Employment Records of
Workers
The Contractor shall carry out the manufacture of Plant, the production and
manufacture of Materials, and all other execution of the Works:
(a) in the manner (if any) specified in the Contract,
(b) in a proper workmanlike and careful manner, in accordance with recognised
good practice, and
(c) with properly equipped facilities and non-hazardous Materials, except as
otherwise specified in the Contract.
The Contractor shall submit the following samples of Materials, and relevant
information, to the Engineer for consent prior to using the Materials in or for the Works:
(a) manufacturer’s standard samples of Materials and samples specified in the
Contract, all at the Contractor’s cost, and
(b) additional samples instructed by the Engineer as a Variation.
Each sample shall be labelled as to origin and intended use in the Works.
The Employer’s Personnel shall at all reasonable times:
(a) have full access to all parts of the Site and to all places from which natural
Materials are being obtained, and
(b) during production, manufacture and construction (at the Site and elsewhere),
be entitled to examine, inspect, measure and test the materials andworkmanship, and to check the progress of manufacture of Plant andproduction and manufacture of Materials.
The Contract"
Contractor Responsibilities for Inspection and Testing Procedures,") during production, manufacture and construction (at the Site and elsewhere),
be entitled to examine, inspect, measure and test the materials andworkmanship, and to check the progress of manufacture of Plant andproduction and manufacture of Materials.
The Contractor shall give the Employer’s Personnel full opportunity to carry out these
activities, including providing access, facilities, permissions and safety equipment. Nosuch activity shall relieve the Contractor from any obligation or responsibility.
The Contractor shall give notice to the Engineer whenever any work is ready and
before it is covered up, put out of sight, or packaged for storage or transport. TheEngineer shall then either carry out the examination, inspection, measurement ortesting without unreasonable delay, or promptly give notice to the Contractor that theEngineer does not require to do so. If the Contractor fails to give the notice, he shall,if and when required by the Engineer, uncover the work and thereafter reinstate andmake good, all at the Contractor’s cost.
This Sub-Clause shall apply to all tests specified in the Contract, other than the Tests
after Completion (if any).
The Contractor shall provide all apparatus, assistance, documents and other
information, electricity, equipment, fuel, consumables, instruments, labour,materials, and suitably qualified and experienced staff, as are necessary to carry outthe specified tests efficiently. The Contractor shall agree, with the Engineer, the timeand place for the specified testing of any Plant, Materials and other parts of theWorks.7.1 
Manner of Execution
## 7 2
Samples
## 7 3Inspection
## 7 4Testing7Plant, Materials and Workmanship
## 28 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
The Engineer may, under Clause 13 [ Variations and Adjustments ], vary the location or
details of specified tests, or instruct the Contractor to carry out additional tests. Ifthese varied or additional tests show that the tested Plant, Materials or workmanshipis not in accordance with the Contract, the cost of carrying out this Variation shall beborne by the Contractor, notwithstanding other provisions of the Contract.
The Engineer shall give the Contractor not less than 24 hours’ notice of the Engineer’s
intention to attend the tests. If the Engineer does not attend at the time and placeagreed, the Contractor may proceed with the tests, unless otherwise instructed by theEngineer, and the tests shall then be deemed to have been made in the Engineer’spresence.
If the Contractor suffers delay and/or incurs Cost from complying with these
instructions or as a result of a delay for which the Employer is responsible, theContractor shall give notice to the Engineer and shall be entitled subject to Sub-Clause 20."
